INFO 2023-01-04 19:08:53,883 basehttp 6272 6956 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,889 basehttp 6272 1508 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,891 basehttp 6272 11024 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,892 basehttp 6272 12204 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,997 basehttp 6272 12204 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:54,100 basehttp 6272 12204 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2023-01-04 19:08:54,115 basehttp 6272 12204 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2023-01-04 19:08:57,775 basehttp 6272 12204 "GET /admin/authtoken/tokenproxy/2/change/ HTTP/1.1" 200 17111
INFO 2023-01-04 19:08:57,883 basehttp 6272 12204 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2023-01-04 19:08:57,912 basehttp 6272 11024 "GET /static/admin/css/forms.css HTTP/1.1" 200 8944
INFO 2023-01-04 19:08:57,919 basehttp 6272 12204 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2023-01-04 19:08:57,929 basehttp 6272 11024 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2023-01-04 19:08:57,929 basehttp 6272 1508 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11297
INFO 2023-01-04 19:08:57,968 basehttp 6272 11024 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2023-01-04 19:08:59,886 basehttp 6272 11024 "GET /admin/authtoken/tokenproxy/2/delete/ HTTP/1.1" 200 15189
